"hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","batting_average_for_BIP","home_run_for_BIP","slug_for_BIP"
"Villar, Jonathan",12,106.272979802969,307,72,18,2,17,0.355048859934853,0.0553745928338762,0.592833876221498
"Walker, Christian",13,104.808114810486,325,70,26,1,13,0.338461538461538,0.04,0.544615384615385
"Urshela, Gio",13,105.009580711087,317,74,17,3,14,0.340694006309148,0.0441640378548896,0.545741324921136
"Olson, Matt",13,109.215023485435,467,80,35,0,39,0.329764453961456,0.0835117773019272,0.655246252676659
"Moncada, Yoán",13,106.413708844972,385,90,34,2,15,0.366233766233766,0.038961038961039,0.581818181818182
"Contreras, Willson",13,109.616854704194,279,52,19,2,23,0.344086021505376,0.0824372759856631,0.673835125448029
"Haniger, Mitch",13,106.907344266018,453,94,21,3,36,0.339955849889625,0.0794701986754967,0.637969094922737
"Harrison, Josh",13,102.481322928009,430,95,32,2,9,0.32093023255814,0.0209302325581395,0.467441860465116
"Vaughn, Andrew",13,106.39328731576,334,64,24,1,14,0.308383233532934,0.0419161676646707,0.511976047904192
"Altuve, Jose",13,104.606142297873,532,106,33,1,33,0.325187969924812,0.0620300751879699,0.577067669172932
"Soler, Jorge",13,109.545232590873,383,60,32,0,30,0.318537859007833,0.0783289817232376,0.637075718015666
"Slater, Austin",13,104.92582496377,200,44,14,1,16,0.375,0.08,0.695
"Judge, Aaron",13,114.171987977656,388,94,23,0,34,0.389175257731959,0.0876288659793814,0.711340206185567
"Escobar, Alcides",13,98.1440158322422,267,65,21,2,4,0.344569288389513,0.0149812734082397,0.48314606741573
"Arozarena, Randy",14,107.345511893296,373,95,34,3,20,0.407506702412869,0.0536193029490617,0.675603217158177
"Bader, Harrison",14,103.596442957828,271,55,21,1,13,0.33210332103321,0.0479704797047971,0.560885608856089
"Moran, Colin",14,102.743523943617,245,62,13,0,12,0.355102040816327,0.0489795918367347,0.555102040816327
"Correa, Carlos",14,108.144792902761,455,94,35,1,27,0.345054945054945,0.0593406593406593,0.604395604395604
"Candelario, Jeimer",14,107.08849216831,428,88,41,4,15,0.345794392523364,0.0350467289719626,0.565420560747664
"Grichuk, Randal",14,108.485192993254,392,73,26,1,21,0.308673469387755,0.0535714285714286,0.540816326530612
"Heredia, Guillermo",14,101.425003321331,228,38,24,0,5,0.293859649122807,0.0219298245614035,0.464912280701754
"Hampson, Garrett",14,100.513804381749,342,72,21,4,10,0.312865497076023,0.0292397660818713,0.485380116959064
"Devers, Rafael",14,110.319575315078,470,96,36,1,39,0.365957446808511,0.0829787234042553,0.695744680851064
"Lux, Gavin",14,102.898595898792,258,60,13,4,8,0.329457364341085,0.0310077519379845,0.503875968992248
"Báez, Javier",14,106.588797102082,320,76,19,2,29,0.39375,0.090625,0.7375
"Díaz, Elias",14,105.961176438845,277,48,17,1,18,0.303249097472924,0.0649819494584837,0.566787003610108
"Gurriel Jr., Lourdes",14,105.633075412001,393,82,26,2,21,0.333333333333333,0.0534351145038168,0.569974554707379
"McNeil, Jeff",14,103.18813169819,340,66,20,1,7,0.276470588235294,0.0205882352941176,0.402941176470588
"Alonso, Pete",14,111.428992702213,441,82,25,3,38,0.335600907029478,0.0861678004535147,0.664399092970522
"Blackmon, Charlie",14,104.714734854463,425,94,26,4,13,0.322352941176471,0.0305882352941176,0.494117647058824
"Severino, Pedro",14,105.304565547967,281,66,19,0,12,0.345195729537367,0.0427046263345196,0.540925266903915
"Yelich, Christian",14,107.115892515078,306,74,20,3,11,0.352941176470588,0.0359477124183007,0.545751633986928
"Alberto, Hanser",14,101.212364185455,225,42,21,3,2,0.302222222222222,0.00888888888888889,0.448888888888889
"Santana, Carlos",14,107.076679246321,461,83,16,0,19,0.255965292841649,0.0412147505422994,0.414316702819957
"Rojas, Josh",14,101.266440918739,358,85,32,4,10,0.365921787709497,0.0279329608938547,0.56145251396648
"Gomes, Yan",14,102.134234664587,263,55,15,0,13,0.315589353612167,0.0494296577946768,0.520912547528517
"Naquin, Tyler",14,107.86463214105,304,64,25,3,21,0.371710526315789,0.0690789473684211,0.680921052631579
"Solano, Donovan",14,103.211845237646,279,68,18,0,9,0.340501792114695,0.032258064516129,0.50179211469534
"Profar, Jurickson",14,102.407911645341,305,58,17,2,3,0.262295081967213,0.00983606557377049,0.360655737704918
"Cabrera, Miguel",15,107.93011527391,360,87,16,0,17,0.333333333333333,0.0472222222222222,0.519444444444444
"Arenado, Nolan",15,106.014318061061,499,77,33,2,31,0.286573146292585,0.062124248496994,0.547094188376753
"Pollock, AJ",15,105.675761153589,316,66,28,1,19,0.360759493670886,0.060126582278481,0.636075949367089
"Vázquez, Christian",15,102.025479450852,386,91,24,1,7,0.318652849740933,0.0181347150259067,0.440414507772021
"Castro, Starlin",15,102.967685638748,240,63,19,0,3,0.354166666666667,0.0125,0.470833333333333
"Hernández, Enrique",15,105.93972628811,455,80,39,3,24,0.320879120879121,0.0527472527472527,0.578021978021978
"García, Luis",15,100.31129295825,226,35,22,2,7,0.292035398230089,0.0309734513274336,0.5
"Alvarez, Yordan",15,110.72096791878,398,76,36,1,33,0.366834170854271,0.0829145728643216,0.71105527638191
"Ibáñez, Andy",15,102.09260032135,239,53,16,2,8,0.330543933054393,0.0334728033472803,0.514644351464435
"Stallings, Jacob",15,101.362489067616,298,61,18,1,8,0.295302013422819,0.0268456375838926,0.442953020134228
"Lindor, Francisco",15,105.753641615518,377,76,18,3,23,0.318302387267904,0.0610079575596817,0.564986737400531
"Espinal, Santiago",15,96.9716302688635,205,59,13,0,4,0.370731707317073,0.0195121951219512,0.492682926829268
"Mountcastle, Ryan",15,106.827868718362,381,76,25,1,36,0.362204724409449,0.094488188976378,0.716535433070866
"Merrifield, Whit",15,102.494170806626,567,136,38,3,9,0.328042328042328,0.0158730158730159,0.45326278659612
"Heim, Jonah",15,102.316178071438,219,27,15,0,10,0.237442922374429,0.045662100456621,0.442922374429224
"Winker, Jesse",15,105.16611197309,347,69,33,2,26,0.37463976945245,0.0749279538904899,0.706051873198847
"Posey, Buster",15,103.978941426935,315,78,26,0,18,0.387301587301587,0.0571428571428571,0.641269841269841
"Laureano, Ramón",15,104.920146931568,228,43,23,3,10,0.346491228070175,0.043859649122807,0.605263157894737
"Dozier, Hunter",16,106.756276025685,346,59,31,5,18,0.326589595375723,0.0520231213872832,0.601156069364162
"Tucker, Kyle",16,106.5310229655,437,80,41,3,30,0.352402745995423,0.068649885583524,0.665903890160183
"Arraez, Luis",16,99.5961374362499,378,98,20,5,2,0.330687830687831,0.00529100529100529,0.425925925925926
"Freeman, Freddie",16,107.676374486457,494,123,28,2,31,0.37246963562753,0.062753036437247,0.625506072874494
"Riley, Austin",16,109.220353662611,444,108,33,1,35,0.398648648648649,0.0788288288288288,0.713963963963964
"Santander, Anthony",16,107.851568937805,325,61,26,0,18,0.323076923076923,0.0553846153846154,0.569230769230769
"Alfaro, Jorge",16,107.321806390293,206,55,16,1,4,0.368932038834951,0.0194174757281553,0.514563106796116
"McMahon, Ryan",16,105.981518285313,382,83,28,1,23,0.353403141361257,0.0602094240837696,0.612565445026178
"Toro, Abraham",16,102.861691213723,293,59,13,0,11,0.283276450511945,0.037542662116041,0.440273037542662
"Baddoo, Akil",16,103.027555169249,300,68,20,7,18,0.376666666666667,0.06,0.67
"Trevino, Jose",16,100.461437955631,235,47,16,0,5,0.28936170212766,0.0212765957446809,0.421276595744681
"Torrens, Luis",16,102.620566675372,259,54,17,2,15,0.33976833976834,0.0579150579150579,0.594594594594595
"Sosa, Edmundo",16,102.842062183301,242,63,9,4,7,0.34297520661157,0.0289256198347107,0.5
"Soto, Juan",16,110.157167801423,415,105,20,2,29,0.375903614457831,0.0698795180722892,0.643373493975904
"Schwindel, Frank",16,103.197529978303,218,49,21,1,15,0.394495412844037,0.0688073394495413,0.706422018348624
"Cron, C.J.",16,111.117581882479,376,72,32,2,32,0.367021276595745,0.0851063829787234,0.718085106382979
"Bogaerts, Xander",16,107.491499516633,441,102,34,1,22,0.360544217687075,0.0498866213151927,0.591836734693878
"Lagares, Juan",16,105.128670788565,254,48,21,2,8,0.311023622047244,0.031496062992126,0.503937007874016
"Dickerson, Corey",16,103.18000660584,276,62,18,5,6,0.329710144927536,0.0217391304347826,0.496376811594203
"Haase, Eric",16,105.838222305651,230,45,11,1,22,0.343478260869565,0.0956521739130435,0.68695652173913
"Realmuto, J.T.",16,106.528964163551,354,81,26,4,17,0.361581920903955,0.0480225988700565,0.601694915254237
"Grisham, Trent",16,104.818392079536,320,56,25,2,15,0.30625,0.046875,0.5375
"Tellez, Rowdy",17,108.057696680264,250,47,14,2,14,0.308,0.056,0.548
"Hernández, Teoscar",17,108.385639768928,396,95,32,0,31,0.398989898989899,0.0782828282828283,0.714646464646465
"Bradley Jr., Jackie",17,101.734514701732,262,45,15,3,5,0.259541984732824,0.0190839694656489,0.396946564885496
"Galvis, Freddy",17,101.723799773056,287,56,17,1,14,0.306620209059233,0.0487804878048781,0.519163763066202
"Story, Trevor",17,107.092422053949,393,66,33,5,23,0.323155216284987,0.0585241730279898,0.608142493638677
"Rizzo, Anthony",17,108.714947805335,404,75,22,3,23,0.304455445544554,0.0569306930693069,0.544554455445545
"Pederson, Joc",17,107.000061567302,331,59,20,2,23,0.314199395770393,0.0694864048338369,0.595166163141994
"Gamel, Ben",17,102.530708779923,253,55,20,4,8,0.343873517786561,0.0316205533596838,0.549407114624506
"Suárez, Eugenio",17,105.339705498867,324,43,24,0,28,0.29320987654321,0.0864197530864197,0.626543209876543
"Bryant, Kris",17,105.133298354505,387,80,30,2,23,0.348837209302326,0.0594315245478036,0.614987080103359
"Ahmed, Nick",17,101.918456527226,328,56,30,3,6,0.289634146341463,0.0182926829268293,0.454268292682927
"Ortega, Rafael",17,102.563211166263,245,62,16,3,11,0.375510204081633,0.0448979591836735,0.6
"Happ, Ian",17,106.561348188999,319,60,21,1,24,0.332288401253919,0.0752351097178683,0.630094043887147
"Castro, Harold",17,102.143594975275,257,75,15,1,3,0.365758754863813,0.0116731517509728,0.466926070038911
"Gardner, Brett",17,102.40944722326,299,56,18,3,10,0.290969899665552,0.0334448160535117,0.471571906354515
"Pillar, Kevin",17,102.160097690389,242,47,11,2,13,0.301652892561983,0.0537190082644628,0.524793388429752
"Bregman, Alex",17,103.701760220496,297,65,18,0,13,0.323232323232323,0.0437710437710438,0.515151515151515
"India, Jonathan",17,106.342622612233,402,88,36,2,21,0.365671641791045,0.0522388059701493,0.621890547263682
"Perez, Salvador",17,109.7442343254,441,95,25,0,45,0.374149659863946,0.102040816326531,0.736961451247165
"La Stella, Tommy",17,100.881280089381,215,42,11,0,8,0.283720930232558,0.0372093023255814,0.446511627906977
