last_name, first_name,player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,year
Zimmer, Bradley,605548,141,TOR,CF,29,34,8,4.23,29.2,2022
Velazquez, Andrew,623205,108,LAA,SS,27,102,35,4.23,29.2,2022
Kiermaier, Kevin,595281,139,TB,CF,32,91,5,4.12,29.2,2022
Fox, Lucius,665650,120,WSH,SS,24,13,3,,29.1,2022
Bader, Harrison,664056,147,NYY,CF,28,117,17,4.27,29.1,2022
Hoerner, Nico,663538,112,CHC,SS,25,219,12,4.28,29.1,2022
Engel, Adam,641553,145,CWS,CF,30,83,9,4.2,29.1,2022
Raley, Luke,670042,139,TB,RF,27,16,2,,29.1,2022
Duran, Ezequiel,677649,140,TEX,3B,23,84,7,4.34,29.1,2022
Buxton, Byron,621439,142,MIN,CF,28,82,23,4.16,29.1,2022
Henderson, Gunnar,683002,110,BAL,3B,21,57,2,4.19,29.1,2022
Jankowski, Travis,608671,136,SEA,RF,31,35,6,4.18,29,2022
Stott, Bryson,681082,143,PHI,SS,24,192,18,4.21,29.1,2022
Fairchild, Stuart,656413,113,CIN,LF,26,32,2,4.26,29,2022
Abrams, CJ,682928,120,WSH,SS,21,130,24,4.21,29,2022
Wade, Tyler,642180,108,LAA,2B,27,44,7,4.16,29,2022
Miller, Owen,680911,114,CLE,1B,25,185,17,4.3,29,2022
Bae, Ji Hwan,678225,134,PIT,CF,22,22,5,,29,2022
Haggerty, Sam,664059,136,SEA,RF,28,73,6,4.33,28.9,2022
Peraza, Oswald,672724,147,NYY,SS,22,28,2,4.31,28.9,2022
McCutchen, Andrew,457705,158,MIL,DH,35,173,15,4.38,28.9,2022
Brinson, Lewis,621446,137,SF,CF,28,10,1,,28.9,2022
Marsh, Brandon,669016,143,PHI,LF,24,152,6,4.27,28.9,2022
Baddoo, Akil,668731,116,DET,LF,23,78,5,4.12,28.9,2022
Meyers, Jake,676694,117,HOU,CF,26,57,1,4.35,28.9,2022
Semien, Marcus,543760,140,TEX,2B,31,220,9,4.37,28.9,2022
Chavis, Michael,656308,134,PIT,1B,26,133,1,4.36,28.9,2022
Lux, Gavin,666158,119,LAD,2B,24,205,4,4.19,28.9,2022
Wong, Connor,657136,111,BOS,C,26,24,,4.33,28.8,2022
Morel, Christopher,666624,112,CHC,CF,23,143,6,4.38,28.8,2022
Phillips, Brett,621433,110,BAL,CF,28,46,3,4.15,28.9,2022
Gonzalez, Oscar,660757,114,CLE,RF,24,170,2,4.35,28.9,2022
Hummel, Cooper,669450,109,AZ,LF,27,63,,4.31,28.8,2022
Grisham, Trent,663757,135,SD,CF,25,160,8,4.35,28.8,2022
Lowe, Josh,666139,139,TB,RF,24,55,8,4.21,28.8,2022
Williams, Luke,663897,146,MIA,LF,25,40,2,4.23,28.8,2022
Marcano, Tucupita,672779,134,PIT,LF,22,64,,4.27,28.8,2022
Gosselin, Phil,594838,108,LAA,3B,33,22,1,4.35,28.8,2022
Martin, Richie,621006,110,BAL,2B,27,11,,,28.8,2022
Aquino, Aristides,606157,113,CIN,RF,28,72,2,4.42,28.8,2022
Arozarena, Randy,668227,139,TB,LF,27,245,13,4.27,28.8,2022
Edman, Tommy,669242,138,STL,SS,27,247,12,4.25,28.8,2022
Realmuto, J.T.,592663,143,PHI,C,31,207,5,4.35,28.8,2022
Robles, Victor,645302,120,WSH,CF,25,122,27,4.36,28.7,2022
Taylor, Michael A.,572191,118,KC,CF,31,138,15,4.26,28.7,2022
Hilliard, Sam,656541,115,COL,LF,28,60,4,4.2,28.7,2022
Walls, Taylor,670764,139,TB,SS,25,144,5,4.23,28.7,2022
Marisnick, Jake,545350,134,PIT,CF,31,24,2,,28.7,2022
Senzel, Nick,669222,113,CIN,CF,27,143,2,4.41,28.7,2022
Alfaro, Jorge,595751,135,SD,C,29,83,,4.41,28.7,2022
Langeliers, Shea,669127,133,OAK,DH,24,43,,4.49,28.7,2022
Solak, Nick,669256,140,TEX,LF,27,36,1,4.4,28.7,2022
Suwinski, Jack,669261,134,PIT,LF,23,104,3,4.32,28.7,2022
Nimmo, Brandon,607043,121,NYM,CF,29,282,30,4.18,28.7,2022
Merrifield, Whit,593160,141,TOR,2B,33,183,1,4.32,28.7,2022
McCormick, Chas,676801,117,HOU,CF,27,132,5,4.27,28.6,2022
Cordero, Franchy,614173,111,BOS,1B,27,73,4,4.27,28.6,2022
Garrett, Stone,656448,109,AZ,LF,26,22,1,4.46,28.6,2022
Hernández, Teoscar,606192,141,TOR,RF,29,177,5,4.33,28.6,2022
Olivares, Edward,658668,118,KC,RF,26,70,1,4.36,28.6,2022
Munoz, Yairo,622168,143,PHI,2B,27,32,,4.33,28.6,2022
Pache, Cristian,665506,133,OAK,CF,23,101,,4.39,28.6,2022
Bruján, Vidal,660644,139,TB,2B,24,50,2,4.28,28.5,2022
Taylor, Chris,621035,119,LAD,LF,31,109,,4.35,28.5,2022
Palacios, Josh,641943,120,WSH,RF,26,19,,4.2,28.5,2022
Acuña Jr., Ronald,660670,144,ATL,RF,24,179,25,4.27,28.5,2022
Hermosillo, Michael,641684,112,CHC,CF,27,17,,,28.5,2022
Cameron, Daz,663662,116,DET,RF,25,23,1,4.41,28.5,2022
Hensley, David,682073,117,HOU,DH,26,15,,4.34,28.5,2022
Story, Trevor,596115,111,BOS,2B,29,113,5,4.33,28.5,2022
Peterson, Jace,607054,158,MIL,3B,32,107,3,4.25,28.5,2022
Barrera, Luis,642456,133,OAK,RF,26,39,3,4.22,28.5,2022
Ramírez, José,608070,114,CLE,3B,29,228,6,4.22,28.5,2022
Gonzalez, Romy,663853,145,CWS,2B,25,39,1,4.38,28.5,2022
Garcia, Maikel,672580,118,KC,SS,22,10,1,,28.5,2022
Mullins, Cedric,656775,110,BAL,CF,27,197,18,4.16,28.5,2022
Taylor, Tyrone,621438,158,MIL,CF,28,139,2,4.5,28.5,2022
