"","hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","woba","woba_bip","whiff_rate","foul_percent","strikeout_percent"
"342","Torkelson, Spencer",13,108.622147805745,497,91,35,2,21,0.301997422680412,0.354627766599598,0.225783475783476,0.42022792022792,0.252577319587629
"343","Burger, Jake",13,110.037308598648,283,48,22,1,27,0.326096033402923,0.465371024734982,0.341278439869989,0.352112676056338,0.334728033472803
"344","Gim<U+00E9>nez, Andr<U+00E9>s",13,104.952738598981,294,75,20,3,11,0.352860411899313,0.414965986394558,0.241379310344828,0.420689655172414,0.221967963386728
"345","Hernández, Gorkys",14,106.201317865215,520,116,37,3,13,0.295521390374332,0.364519230769231,0.269622093023256,0.352470930232558,0.241610738255034
"346","Vogelbach, Daniel",14,108.176602802317,876,165,54,1,59,0.344263408010862,0.390296803652968,0.210599078341014,0.385714285714286,0.245411284840245
"347","Iannetta, Chris",14,109.616538446798,412,70,40,1,27,0.354843304843305,0.424514563106796,0.283251231527094,0.378489326765189,0.26
"348","McCutchen, Andrew",14,106.263486144153,1647,347,107,7,88,0.35616792678074,0.395962355798421,0.230263157894737,0.382753759398496,0.206772908366534
"349","Torreyes, Ronald",14,99.1335953486417,606,130,32,3,12,0.303009575923393,0.327392739273927,0.143196202531646,0.377373417721519,0.125854993160055
"350","Urshela, Gio",14,106.207527604768,1181,302,79,6,45,0.349270304568528,0.408001693480102,0.209563543003851,0.411424903722721,0.187936507936508
"351","Quinn, Roman",14,103.41262469895,279,60,15,8,6,0.3,0.36989247311828,0.337837837837838,0.285135135135135,0.291489361702128
"352","Dozier, Hunter",14,109.679563915301,1082,202,86,21,65,0.335684399282726,0.431053604436229,0.281302450486741,0.355488418932528,0.270658682634731
"353","Rodríguez, Ronny",14,106.511218781017,331,57,26,4,21,0.320512820512821,0.412990936555891,0.326388888888889,0.290509259259259,0.252136752136752
"354","Palka, Daniel",14,113.665149231937,330,61,20,2,25,0.313908450704225,0.427878787878788,0.357547169811321,0.331132075471698,0.326278659611993
"355","Jiménez, Eloy",14,109.792349782306,629,142,40,3,50,0.365251396648045,0.460731319554849,0.308176100628931,0.29622641509434,0.236871508379888
"356","Altherr, Aaron",14,109.384537427161,446,82,41,5,27,0.334400544959128,0.429484304932735,0.341017488076312,0.304451510333863,0.287858117326057
"357","Solano, Donovan",14,105.355774040722,746,185,56,1,18,0.3392578125,0.383109919571046,0.196659482758621,0.401400862068966,0.183953033268102
"358","Reddick, Josh",14,104.347739567688,1178,267,63,8,40,0.333344219464402,0.359550084889643,0.164127951256664,0.387281035795887,0.147540983606557
"359","Wallach, Chad",14,105.359587980635,238,49,12,0,11,0.262914691943128,0.345588235294118,0.3778071334214,0.30779392338177,0.338862559241706
"360","Davis, J.D.",14,109.103871333762,891,242,61,3,46,0.356626928471248,0.449775533108866,0.324665676077266,0.344353640416048,0.264270613107822
"361","Meadows, Austin",14,108.018341513226,901,174,59,10,54,0.34685128983308,0.403274139844617,0.220692717584369,0.379218472468917,0.212927756653992
"362","Molina, Yadier",14,102.707926792315,1442,297,77,0,52,0.309777158774373,0.336095700416089,0.188760806916427,0.395677233429395,0.13854748603352
"363","DeShields, Delino",14,102.04558102877,725,178,46,5,11,0.323744292237443,0.370206896551724,0.210114388922336,0.353401565322095,0.226691042047532
"364","Guzmán, Ronald",14,108.139584787847,403,68,36,2,26,0.321719457013575,0.409429280397022,0.295436968290797,0.392884764114462,0.287443267776097
"365","Hicks, John",14,108.060807877141,531,120,42,3,27,0.326937738246506,0.426553672316384,0.311465358675659,0.362967504598406,0.269720101781171
"366","Davis, Rajai",14,103.557333526573,394,86,27,4,8,0.304553571428571,0.361802030456853,0.249246231155779,0.354773869346734,0.222222222222222
"367","Nido, Tomás",14,103.925310514668,306,64,13,1,9,0.244777777777778,0.318790849673203,0.354545454545455,0.297727272727273,0.278396436525612
"368","Owings, Chris",14,103.895681019053,709,148,56,8,25,0.313227016885553,0.392947813822285,0.250802139037433,0.370053475935829,0.261032863849765
"369","Mathis, Jeff",14,103.224739585271,372,81,24,1,7,0.254397394136808,0.325806451612903,0.315031503150315,0.35013501350135,0.312703583061889
"370","Rosario, Eddie",14,104.200022363319,1749,365,103,11,93,0.328916449086162,0.38453401943968,0.237564131162168,0.372295337943342,0.18613775065388
"371","Walker, Neil",14,104.106971457428,684,138,41,2,29,0.327717391304348,0.353874269005848,0.231404958677686,0.364817001180638,0.199009900990099
"372","Murphy, Daniel",14,104.589143166366,859,177,67,1,41,0.3558106841612,0.386554132712456,0.124801692226335,0.420941300898995,0.131332082551595
"373","Calhoun, Kole",14,105.530183167817,1293,264,76,6,70,0.315815815815816,0.384068058778036,0.288696123610735,0.360802385470317,0.256397390868038
"374","Pérez, Carlos",14,104.912578088431,269,49,15,1,13,0.306107954545455,0.356319702602231,0.222419928825623,0.298932384341637,0.1875
"375","Cooper, Garrett",14,108.695679450016,850,219,57,5,40,0.342167300380228,0.433,0.248569092395748,0.403924775143091,0.264079147640791
"376","Munoz, Yairo",14,104.167767154999,407,96,24,0,9,0.307039711191336,0.345700245700246,0.275961538461538,0.332692307692308,0.193490054249548
"377","Judge, Aaron",14,115.093266001174,1450,336,107,2,186,0.422658323852863,0.570724137931034,0.324289681691946,0.365520187994018,0.294788893115253
"378","Beckham, Tim",14,107.341486355926,726,167,47,5,40,0.321175950486295,0.420316804407714,0.307512832477835,0.353709752683154,0.284703801945181
"379","Crawford, Brandon",14,105.040596063541,1656,352,110,7,62,0.314542760372566,0.365368357487923,0.270058708414873,0.36986301369863,0.213921901528014
"380","Torres, Gleyber",14,106.973544056343,1571,341,98,3,101,0.351717983043284,0.415276893698281,0.252379846761087,0.38309728349199,0.211443898077783
"381","Olson, Matt",14,111.224712183346,1620,273,133,2,167,0.390090981012658,0.471327160493827,0.257487520798669,0.405574043261231,0.232779097387173
